This file was created by CODIAN@move
Mittwoch, 22. August 2007		22:17

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	500
No. of Steps:	501
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
88.30	64.80	34.20	569	541	576	1.01294
88.30	64.80	34.10	569	542	575	1.01107
88.30	64.80	34.00	573	545	576	1.00550
88.30	64.80	33.90	579	541	586	1.01294
88.30	64.80	33.80	586	544	590	1.00735
88.30	64.80	33.70	597	546	599	1.00366
88.30	64.80	33.60	599	548	599	1.00000
88.30	64.80	33.50	589	542	596	1.01107
88.30	64.80	33.40	593	542	600	1.01107
88.30	64.80	33.30	592	543	597	1.00921
88.30	64.80	33.20	597	544	601	1.00735
88.30	64.80	33.10	605	547	606	1.00183
88.30	64.80	33.00	601	546	603	1.00366
88.30	64.80	32.90	587	541	595	1.01294
88.30	64.80	32.80	588	542	595	1.01107
88.30	64.80	32.70	591	542	598	1.01107
88.30	64.80	32.60	595	541	603	1.01294
88.30	64.80	32.50	588	540	597	1.01481
88.30	64.80	32.40	597	540	606	1.01481
88.30	64.80	32.30	595	544	599	1.00735
88.30	64.80	32.20	593	540	602	1.01481
88.30	64.80	32.10	596	541	604	1.01294
88.30	64.80	32.00	594	543	599	1.00921
88.30	64.80	31.90	599	540	608	1.01481
88.30	64.80	31.80	611	540	620	1.01481
88.30	64.80	31.70	616	542	623	1.01107
88.30	64.80	31.60	622	544	627	1.00735
88.30	64.80	31.50	626	545	629	1.00550
88.30	64.80	31.40	622	541	630	1.01294
88.30	64.80	31.30	624	541	632	1.01294
88.30	64.80	31.20	622	542	629	1.01107
88.30	64.80	31.10	622	541	630	1.01294
88.30	64.80	31.00	620	541	628	1.01294
88.30	64.80	30.90	617	541	625	1.01294
88.30	64.80	30.80	630	542	637	1.01107
88.30	64.80	30.70	646	549	645	0.99818
88.30	64.80	30.60	629	544	634	1.00735
88.30	64.80	30.50	630	542	637	1.01107
88.30	64.80	30.40	640	545	644	1.00550
88.30	64.80	30.30	634	541	642	1.01294
88.30	64.80	30.20	632	543	638	1.00921
88.30	64.80	30.10	628	544	633	1.00735
88.30	64.80	30.00	632	543	638	1.00921
88.30	64.80	29.90	642	541	650	1.01294
88.30	64.80	29.80	636	541	644	1.01294
88.30	64.80	29.70	634	541	642	1.01294
88.30	64.80	29.60	639	548	639	1.00000
88.30	64.80	29.50	639	548	639	1.00000
88.30	64.80	29.40	631	540	640	1.01481
