This file was created by CODIAN@move
Dienstag, 22. Juni 2010		21:38

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	1000
No. of Steps:	351
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
70.00	86.00	60.00	30830	21720000	31029	1.00645
70.00	86.00	59.90	30940	21750000	31096	1.00506
70.00	86.00	59.80	31270	21940000	31156	0.99635
70.00	86.00	59.70	31110	21780000	31224	1.00367
70.00	86.00	59.60	31120	21730000	31306	1.00598
70.00	86.00	59.50	31380	21920000	31294	0.99726
70.00	86.00	59.40	31320	21810000	31392	1.00229
70.00	86.00	59.30	31410	21820000	31468	1.00183
70.00	86.00	59.19	31620	21850000	31634	1.00046
70.00	86.00	59.10	31870	22010000	31653	0.99318
70.00	86.00	58.99	31940	21990000	31751	0.99409
70.00	86.00	58.90	32020	22010000	31802	0.99318
70.00	86.00	58.79	31790	21770000	31921	1.00413
70.00	86.00	58.70	31850	21780000	31967	1.00367
70.00	86.00	58.59	31860	21790000	31962	1.00321
70.00	86.00	58.50	32060	21830000	32104	1.00137
70.00	86.00	58.40	32190	21860000	32190	1.00000
70.00	86.00	58.30	32340	21960000	32193	0.99545
70.00	86.00	58.20	32430	21910000	32356	0.99772
70.00	86.00	58.09	32510	21950000	32377	0.99590
70.00	86.00	58.00	32480	21820000	32540	1.00183
70.00	86.00	57.89	32590	21860000	32590	1.00000
70.00	86.00	57.80	32980	22120000	32592	0.98825
70.00	86.00	57.70	32990	22020000	32750	0.99273
70.00	86.00	57.60	32960	21940000	32840	0.99635
70.00	86.00	57.50	32920	21890000	32875	0.99863
70.00	86.00	57.40	33020	21830000	33065	1.00137
70.00	86.00	57.30	33060	21850000	33075	1.00046
70.00	86.00	57.20	33170	21850000	33185	1.00046
70.00	86.00	57.09	33320	21840000	33351	1.00092
70.00	86.00	57.00	33330	21850000	33345	1.00046
70.00	86.00	56.89	33420	21850000	33435	1.00046
70.00	86.00	56.80	33600	21850000	33615	1.00046
70.00	86.00	56.69	33680	21870000	33665	0.99954
70.00	86.00	56.60	33730	21810000	33807	1.00229
70.00	86.00	56.50	33830	21840000	33861	1.00092
70.00	86.00	56.40	33930	21840000	33961	1.00092
70.00	86.00	56.29	34030	21820000	34092	1.00183
70.00	86.00	56.20	34250	21860000	34250	1.00000
70.00	86.00	56.09	34310	21870000	34294	0.99954
70.00	86.00	56.00	34350	21850000	34366	1.00046
70.00	86.00	55.90	34470	21860000	34470	1.00000
70.00	86.00	55.80	34750	21910000	34671	0.99772
70.00	86.00	55.69	34770	21890000	34722	0.99863
70.00	86.00	55.60	34900	21910000	34820	0.99772
70.00	86.00	55.49	34760	21750000	34936	1.00506
70.00	86.00	55.40	35100	21910000	35020	0.99772
70.00	86.00	55.30	35190	21880000	35158	0.99909
70.00	86.00	55.20	35230	21820000	35295	1.00183
70.00	86.00	55.09	35350	21840000	35382	1.00092
70.00	86.00	55.00	35610	21890000	35561	0.99863
70.00	86.00	54.90	35680	21860000	35680	1.00000
70.00	86.00	54.79	35730	21850000	35746	1.00046
70.00	86.00	54.70	35900	21830000	35949	1.00137
70.00	86.00	54.59	36030	21860000	36030	1.00000
70.00	86.00	54.50	36290	21930000	36174	0.99681
70.00	86.00	54.39	36130	21730000	36346	1.00598
70.00	86.00	54.30	36000	21640000	36366	1.01017
70.00	86.00	54.19	36470	21810000	36554	1.00229
70.00	86.00	54.10	36900	21970000	36715	0.99499
70.00	86.00	53.99	36950	21930000	36832	0.99681
70.00	86.00	53.90	37000	21900000	36932	0.99817
70.00	86.00	53.79	37210	21890000	37159	0.99863
70.00	86.00	53.70	37250	21870000	37233	0.99954
70.00	86.00	53.59	37390	21830000	37441	1.00137
70.00	86.00	53.50	37500	21790000	37620	1.00321
70.00	86.00	53.39	37690	21840000	37725	1.00092
70.00	86.00	53.30	37830	21860000	37830	1.00000
70.00	86.00	53.19	37810	21720000	38054	1.00645
70.00	86.00	53.10	37690	21590000	38161	1.01251
70.00	86.00	52.99	38370	21880000	38335	0.99909
70.00	86.00	52.90	38720	21970000	38526	0.99499
70.00	86.00	52.79	38840	21970000	38646	0.99499
70.00	86.00	52.70	38890	21900000	38819	0.99817
70.00	86.00	52.59	38950	21830000	39004	1.00137
70.00	86.00	52.50	39260	21880000	39224	0.99909
70.00	86.00	52.39	39400	21860000	39400	1.00000
70.00	86.00	52.30	39480	21820000	39552	1.00183
70.00	86.00	52.19	39690	21830000	39745	1.00137
